Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,Deaths
2020-03-11,India,,21,78,62,4,1
2020-03-12,India,,21,78,73,4,1
2020-03-13,India,,21,78,82,4,2
2020-03-14,India,,21,78,102,4,2
2020-03-15,India,,21,78,113,13,2
2020-03-16,India,,21,78,119,13,2
2020-03-17,India,,21,78,142,14,3
2020-03-18,India,,21,78,156,14,3
2020-03-19,India,,21,78,194,15,4
2020-03-20,India,,21,78,244,20,5
2020-03-21,India,,21,78,330,23,4
2020-03-22,India,,21,78,396,27,7
2020-03-23,India,,21,78,499,27,10
2020-03-24,India,,21,78,536,40,10
2020-03-25,India,,21,78,657,43,12
2020-03-26,India,,21,78,727,45,20
2020-03-27,India,,21,78,887,73,20
2020-03-28,India,,21,78,987,84,24
2020-03-29,India,,21,78,1024,95,27
2020-03-30,India,,21,78,1251,102,32
2020-03-31,India,,21,78,1397,123,35
2020-04-01,India,,21,78,1998,148,58
2020-04-02,India,,21,78,2543,191,72
2020-04-03,India,,21,78,2567,192,72
2020-04-04,India,,21,78,3082,229,86
2020-04-05,India,,21,78,3588,229,99
2020-04-06,India,,21,78,4778,375,136
2020-04-07,India,,21,78,5311,421,150
2020-04-08,India,,21,78,5916,506,178
2020-04-09,India,,21,78,6725,620,226
2020-04-10,India,,21,78,7598,774,246
2020-04-11,India,,21,78,8446,969,288
2020-04-12,India,,21,78,9205,1080,331
2020-04-13,India,,21,78,10453,1181,358
2020-04-14,India,,21,78,11487,1359,393
2020-04-15,India,,21,78,12322,1432,405
2020-04-16,India,,21,78,13430,1768,448
2020-04-17,India,,21,78,14352,2041,486
2020-04-18,India,,21,78,15722,2463,521
2020-04-19,India,,21,78,17615,2854,559
2020-04-20,India,,21,78,18539,3273,592
2020-04-21,India,,21,78,20080,3975,645
2020-04-22,India,,21,78,21370,4370,681
2020-04-23,India,,21,78,23077,5012,721
2020-04-24,India,,21,78,24530,5498,780
2020-04-25,India,,21,78,26283,5939,825
2020-04-26,India,,21,78,27890,6523,881
2020-04-27,India,,21,78,29451,7137,939
2020-04-28,India,,21,78,31324,7747,1008
2020-04-29,India,,21,78,33062,8437,1079
2020-04-30,India,,21,78,34863,9068,1154
2020-05-01,India,,21,78,37257,10007,1223
2020-05-02,India,,21,78,39699,10819,1323
2020-05-03,India,,21,78,42505,11775,1391
2020-05-04,India,,21,78,46437,12847,1566
2020-05-05,India,,21,78,49400,14142,1693
2020-05-06,India,,21,78,52987,15331,1785
2020-05-07,India,,21,78,56351,16776,1889
2020-05-08,India,,21,78,59695,17887,1985
2020-05-09,India,,21,78,62808,19301,2101
2020-05-10,India,,21,78,67161,20969,2212
2020-05-11,India,,21,78,70768,22549,2294
2020-05-12,India,,21,78,74292,24420,2415
2020-05-13,India,,21,78,78055,26400,2551
2020-05-14,India,,21,78,81997,27969,2649
2020-05-15,India,,21,78,85784,30258,2753
2020-05-16,India,,21,78,90648,34224,2871
2020-05-17,India,,21,78,95698,36795,3025
2020-05-18,India,,21,78,100328,39233,3156
2020-05-19,India,,21,78,106475,42309,3302
2020-05-20,India,,21,78,112028,45422,3434
2020-05-21,India,,21,78,118226,48553,3584
2020-05-22,India,,21,78,124794,51824,3726
2020-05-23,India,,21,78,131423,54385,3868
2020-05-24,India,,21,78,138536,57692,4024
2020-05-25,India,,21,78,144950,60706,4172
2020-05-26,India,,21,78,150793,64277,4344
2020-05-27,India,,21,78,158086,67749,4534
2020-05-28,India,,21,78,165386,70920,4711
2020-05-29,India,,21,78,173491,82627,4980
2020-05-30,India,,21,78,181827,86936,5185
2020-05-31,India,,21,78,190609,91852,5408
2020-06-01,India,,21,78,198370,95754,5608
2020-06-02,India,,21,78,207191,100285,5829
2020-06-03,India,,21,78,216824,104071,6088
2020-06-04,India,,21,78,226713,108450,6363
2020-06-05,India,,21,78,236184,113233,6649
2020-06-06,India,,21,78,246622,118695,6946
2020-06-07,India,,21,78,257486,123848,7207
